text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_source_path,source_path
written_2_technical_plos_journal.pbio.0020420,1806,3042,0.05758582502768549,0.2787639710716634,0.3915187376725838,0.44806048652202496,0.33760683760683763,2.8808060369734965,3.0122745061911376,0.3377630121816168,5.809523809523809,19.630434782608695,False,0.14230343300110743,1.9795127353266888,15.424119842072319,written_2_technical_plos_journal.pbio.0020420,technical,written_2/technical/plos/journal.pbio.0020420.txt,oanc_texts/written_2_technical_plos_journal.pbio.0020420.txt
written_1_journal_slate_51_ArticleIP_36164,1527,2091,0.011787819253438114,0.209947393591583,0.29220468675274985,0.34337637494022,0.2769010043041607,3.1670001256697513,3.2600349537745843,0.4544859201047806,4.461689587426326,13.513274336283185,False,0.03536345776031434,1.4800261951538964,7.144486093966421,written_1_journal_slate_51_ArticleIP_36164,journal,written_1/journal/slate/51/ArticleIP_36164.txt,oanc_texts/written_1_journal_slate_51_ArticleIP_36164.txt
written_1_journal_slate_25_ArticleIP_1380,1761,2833,0.005110732538330494,0.2661489587010237,0.3671020120014119,0.43169784680550655,0.3169784680550653,3.0337093670624316,3.1101069334011244,0.4889267461669506,5.147075525269733,20.964285714285715,False,0.05792163543441227,1.7166382737081203,12.84240305832725,written_1_journal_slate_25_ArticleIP_1380,journal,written_1/journal/slate/25/ArticleIP_1380.txt,oanc_texts/written_1_journal_slate_25_ArticleIP_1380.txt
spoken_telephone_switchboard_41_sw4192-ms98-a-trans,1125,1383,0.0,0.16558206796818511,0.22125813449023862,0.2653651482284888,0.26898047722342733,3.121331729237219,3.307443026156866,0.28888888888888886,3.8817777777777778,1125.0,False,0.021333333333333333,1.2675555555555555,438.1171555555556,spoken_telephone_switchboard_41_sw4192-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/41/sw4192-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_41_sw4192-ms98-a-trans.txt
written_2_technical_plos_journal.pbio.0020276,1582,2663,0.061946902654867256,0.2801351858805858,0.40743522343221933,0.47990987607960944,0.33571160345475026,2.880655487982301,2.998338447720794,0.3994943109987358,5.663716814159292,21.37837837837838,False,0.11504424778761062,1.9804045512010113,16.116341271739504,written_2_technical_plos_journal.pbio.0020276,technical,written_2/technical/plos/journal.pbio.0020276.txt,oanc_texts/written_2_technical_plos_journal.pbio.0020276.txt
spoken_telephone_switchboard_23_sw2369-ms98-a-trans,2096,2488,0.005248091603053435,0.16197749196141478,0.21663987138263666,0.2479903536977492,0.25884244372990356,3.2556655803803123,3.3496380062368347,0.24618320610687022,3.759064885496183,2096.0,False,0.008587786259541985,1.2547709923664123,816.6562977099237,spoken_telephone_switchboard_23_sw2369-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/23/sw2369-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_23_sw2369-ms98-a-trans.txt
written_2_technical_government_Gen_Account_Office_Testimony_cg00010t,13773,23340,0.03172874464532056,0.3051413881748072,0.4160668380462725,0.4865038560411311,0.35586975149957156,2.9399576193467745,3.003528025561203,0.1751978508676396,5.567051477528498,25.505555555555556,False,0.11072388005518043,1.879111304726639,16.53068006244101,written_2_technical_government_Gen_Account_Office_Testimony_cg00010t,technical,written_2/technical/government/Gen_Account_Office/Testimony_cg00010t.txt,oanc_texts/written_2_technical_government_Gen_Account_Office_Testimony_cg00010t.txt
written_2_technical_government_Gen_Account_Office_og97020,1145,2073,0.01222707423580786,0.3386396526772793,0.437530149541727,0.5016883743367101,0.37433671008200675,2.8163683694781816,2.9626686499440935,0.308296943231441,5.6471615720524015,16.83823529411765,False,0.1056768558951965,1.9441048034934498,13.917348445928592,written_2_technical_government_Gen_Account_Office_og97020,technical,written_2/technical/government/Gen_Account_Office/og97020.txt,oanc_texts/written_2_technical_government_Gen_Account_Office_og97020.txt
written_1_journal_slate_24_ArticleIP_1265,1592,2381,0.026381909547738693,0.2650146997060059,0.3414531709365813,0.4216715665686686,0.3149937001259975,3.0851460741144865,3.1797279486817804,0.510678391959799,4.961055276381909,20.41025641025641,False,0.04522613065326633,1.6608040201005025,11.967487437185934,written_1_journal_slate_24_ArticleIP_1265,journal,written_1/journal/slate/24/ArticleIP_1265.txt,oanc_texts/written_1_journal_slate_24_ArticleIP_1265.txt
written_2_technical_biomed_1471-2156-2-7,2004,3487,0.0499001996007984,0.30742758818468596,0.41496988815600805,0.4952681388012618,0.35646687697160884,2.785712414873724,2.9367602179299266,0.26696606786427146,5.471556886227545,20.875,False,0.11277445109780439,1.9605788423153692,15.686080339321357,written_2_technical_biomed_1471-2156-2-7,technical,written_2/technical/biomed/1471-2156-2-7.txt,oanc_texts/written_2_technical_biomed_1471-2156-2-7.txt
