text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_face-to-face_charlotte_ReeseJennifer,1211,1371,0.16411378555798686,0,0,0.0,spoken_conv
spoken_face-to-face_charlotte_ReidSandra,1854,2189,0.1507537688442211,0,2,0.0,spoken_conv
spoken_face-to-face_charlotte_RussellMary,1322,1564,0.1969309462915601,1,1,0.5,spoken_conv
spoken_face-to-face_charlotte_ShamblinGladys,1814,2210,0.17013574660633485,2,0,1.0,spoken_conv
spoken_face-to-face_charlotte_SheltonMichael,3897,4753,0.15064169997896065,8,4,0.6666666666666666,spoken_conv
spoken_face-to-face_charlotte_ShieldsStacy,1019,1280,0.13671875,0,1,0.0,spoken_conv
spoken_face-to-face_charlotte_SilvaCaroline,1207,1422,0.1371308016877637,0,2,0.0,spoken_conv
spoken_face-to-face_charlotte_SmithPatricia,1501,1866,0.16720257234726688,3,0,1.0,spoken_conv
spoken_face-to-face_charlotte_SpeckmanNancy,2161,2523,0.17677368212445502,10,3,0.7692307692307693,spoken_conv
spoken_face-to-face_charlotte_StJohnEric,1847,2248,0.15791814946619218,11,3,0.7857142857142857,spoken_conv
spoken_face-to-face_charlotte_StackCarmen,2037,2370,0.14978902953586498,2,2,0.5,spoken_conv
spoken_face-to-face_charlotte_ThomasKay,1471,1680,0.17142857142857143,1,4,0.2,spoken_conv
spoken_face-to-face_charlotte_ThomasLamar,1993,2400,0.21,7,5,0.5833333333333334,spoken_conv
spoken_face-to-face_charlotte_WenlyRichard,2843,3639,0.2019785655399835,4,3,0.5714285714285714,spoken_conv
spoken_face-to-face_charlotte_WentzLarry,2484,3096,0.1592377260981912,30,9,0.7692307692307693,spoken_conv
spoken_face-to-face_charlotte_WentzLinda,2530,3101,0.16801031925185425,20,6,0.7692307692307693,spoken_conv
spoken_face-to-face_charlotte_WerthChristopher,1222,1555,0.13890675241157557,6,0,1.0,spoken_conv
spoken_face-to-face_charlotte_WhiteChristine,2242,2579,0.13920124079100427,5,3,0.625,spoken_conv
spoken_face-to-face_charlotte_WhiteJustin,1187,1397,0.12526843235504653,8,1,0.8888888888888888,spoken_conv
spoken_face-to-face_charlotte_WorthingtonFrances,6458,7745,0.1826985151710781,15,14,0.5172413793103449,spoken_conv
spoken_face-to-face_charlotte_WynnTammi,2037,2346,0.15515771526001704,2,3,0.4,spoken_conv
spoken_face-to-face_charlotte_YoussefJoseph,1396,1764,0.1961451247165533,4,3,0.5714285714285714,spoken_conv
spoken_telephone_switchboard_20_sw2005-ms98-a-trans,1695,2124,0.1553672316384181,5,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2006-ms98-a-trans,1435,1824,0.18475877192982457,11,6,0.6470588235294118,spoken_phone
spoken_telephone_switchboard_20_sw2009-ms98-a-trans,1078,1289,0.1621411947245927,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_20_sw2010-ms98-a-trans,1039,1260,0.14206349206349206,5,1,0.8333333333333334,spoken_phone
spoken_telephone_switchboard_20_sw2012-ms98-a-trans,2014,2655,0.16534839924670433,3,3,0.5,spoken_phone
spoken_telephone_switchboard_20_sw2013-ms98-a-trans,2018,2444,0.13911620294599017,19,1,0.95,spoken_phone
spoken_telephone_switchboard_20_sw2015-ms98-a-trans,1245,1549,0.1620400258231117,1,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2017-ms98-a-trans,1288,1525,0.1560655737704918,8,2,0.8,spoken_phone
spoken_telephone_switchboard_20_sw2018-ms98-a-trans,1351,1570,0.13821656050955414,3,1,0.75,spoken_phone
spoken_telephone_switchboard_20_sw2020-ms98-a-trans,1972,2406,0.15876974231088944,6,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2022-ms98-a-trans,1200,1395,0.13189964157706094,1,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2023-ms98-a-trans,1817,2059,0.12336085478387566,4,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2024-ms98-a-trans,1145,1459,0.181631254283756,0,2,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2025-ms98-a-trans,1373,1677,0.1687537268932618,3,3,0.5,spoken_phone
spoken_telephone_switchboard_20_sw2027-ms98-a-trans,2134,2484,0.16908212560386474,11,4,0.7333333333333333,spoken_phone
spoken_telephone_switchboard_20_sw2028-ms98-a-trans,1521,1939,0.17895822588963384,13,3,0.8125,spoken_phone
spoken_telephone_switchboard_20_sw2035-ms98-a-trans,1094,1266,0.146129541864139,0,1,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2036-ms98-a-trans,1052,1261,0.1134020618556701,0,0,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2038-ms98-a-trans,1802,2398,0.21851542952460384,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_20_sw2039-ms98-a-trans,1312,1591,0.13953488372093023,3,1,0.75,spoken_phone
spoken_telephone_switchboard_20_sw2040-ms98-a-trans,1597,2153,0.18439386901997212,0,2,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2041-ms98-a-trans,2023,2604,0.18202764976958524,5,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2044-ms98-a-trans,2022,2363,0.14303851036817605,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_20_sw2045-ms98-a-trans,1211,1389,0.14758819294456443,6,5,0.5454545454545454,spoken_phone
spoken_telephone_switchboard_20_sw2050-ms98-a-trans,1708,2045,0.16772616136919316,0,0,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2051-ms98-a-trans,1518,1859,0.1769768692845616,3,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2053-ms98-a-trans,1029,1179,0.11620016963528414,2,2,0.5,spoken_phone
spoken_telephone_switchboard_20_sw2056-ms98-a-trans,1095,1234,0.10615883306320907,1,1,0.5,spoken_phone
spoken_telephone_switchboard_20_sw2057-ms98-a-trans,1870,2276,0.15421792618629174,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_20_sw2061-ms98-a-trans,2319,2825,0.12991150442477875,22,1,0.9565217391304348,spoken_phone
spoken_telephone_switchboard_20_sw2062-ms98-a-trans,1992,2449,0.16414863209473254,0,2,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2064-ms98-a-trans,1443,1775,0.15098591549295776,0,0,0.0,spoken_phone
spoken_telephone_switchboard_20_sw2065-ms98-a-trans,2202,2717,0.16231137283768862,3,1,0.75,spoken_phone
spoken_telephone_switchboard_20_sw2072-ms98-a-trans,1079,1249,0.1289031224979984,2,4,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_20_sw2073-ms98-a-trans,1462,1827,0.1625615763546798,7,2,0.7777777777777778,spoken_phone
spoken_telephone_switchboard_20_sw2078-ms98-a-trans,2092,2416,0.12789735099337748,3,0,1.0,spoken_phone
spoken_telephone_switchboard_20_sw2096-ms98-a-trans,1703,2131,0.15720319099014546,0,1,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2101-ms98-a-trans,1137,1389,0.1331893448524118,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2102-ms98-a-trans,1622,1962,0.14627930682976553,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_21_sw2107-ms98-a-trans,1966,2258,0.13197519929140833,4,2,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_21_sw2108-ms98-a-trans,2031,2375,0.17852631578947367,3,1,0.75,spoken_phone
spoken_telephone_switchboard_21_sw2109-ms98-a-trans,1344,1650,0.17757575757575758,5,1,0.8333333333333334,spoken_phone
spoken_telephone_switchboard_21_sw2110-ms98-a-trans,1742,2158,0.1371640407784986,5,1,0.8333333333333334,spoken_phone
spoken_telephone_switchboard_21_sw2111-ms98-a-trans,1733,2137,0.15489003275620028,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2116-ms98-a-trans,2085,2569,0.15219929933826393,18,4,0.8181818181818182,spoken_phone
spoken_telephone_switchboard_21_sw2121-ms98-a-trans,1806,2302,0.16985230234578627,9,1,0.9,spoken_phone
spoken_telephone_switchboard_21_sw2122-ms98-a-trans,1692,1993,0.13898645258404416,10,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2125-ms98-a-trans,1276,1543,0.15878159429682437,0,2,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2129-ms98-a-trans,1386,1728,0.1684027777777778,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_21_sw2130-ms98-a-trans,1319,1701,0.17871840094062316,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_21_sw2131-ms98-a-trans,1921,2268,0.13977072310405644,4,3,0.5714285714285714,spoken_phone
spoken_telephone_switchboard_21_sw2136-ms98-a-trans,2190,2555,0.12211350293542074,0,3,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2139-ms98-a-trans,1663,2019,0.15354135710747896,8,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2141-ms98-a-trans,2123,2594,0.13377023901310717,3,1,0.75,spoken_phone
spoken_telephone_switchboard_21_sw2145-ms98-a-trans,1392,1768,0.19570135746606335,0,1,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2149-ms98-a-trans,1971,2328,0.15764604810996563,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2150-ms98-a-trans,2028,2435,0.13305954825462013,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2152-ms98-a-trans,1641,1906,0.14795383001049317,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2153-ms98-a-trans,1681,2109,0.16168800379326695,5,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2154-ms98-a-trans,1541,1958,0.1634320735444331,1,1,0.5,spoken_phone
spoken_telephone_switchboard_21_sw2155-ms98-a-trans,2160,2606,0.16039907904834996,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_21_sw2157-ms98-a-trans,1802,2165,0.1367205542725173,1,1,0.5,spoken_phone
spoken_telephone_switchboard_21_sw2158-ms98-a-trans,2262,2723,0.15130370914432612,6,0,1.0,spoken_phone
