text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_title,meta_author,meta_subjects,source_path
PG26292,15409,18811,0.04666104224803686,0.20705969911222158,0.2772314071553878,0.3193875923661687,0.28185636064005104,3.233789677733082,3.264727046746868,0.1745084041793757,4.417677980401065,20.0,True,0.02965799208254916,1.4143682263612174,8.899545071062366,PG26292,science,The Star Hyacinths,"Schmitz, James H.",{'Science fiction'},spgc_texts/PG26292.txt
PG674,36345,45597,0.04283945522080066,0.2349715990087067,0.3097352896023861,0.35987016689694495,0.3164243261618089,3.1388347704548845,3.163630996410196,0.1433209519878938,4.5028477094510935,20.0,True,0.02677122025037832,1.4653184757188058,9.50075801348191,PG674,biography,Plutarch: Lives of the noble Grecians and Romans,Plutarch,"{'Greece -- Biography -- Early works to 1800', 'Rome -- Biography -- Early works to 1800'}",spgc_texts/PG674.txt
PG43739,12379,13654,0.023265207205751676,0.21312435916215028,0.26629559103559397,0.2914896733557932,0.27867291636150576,3.2620649949505425,3.3039748466945142,0.20704418773729705,4.043460699571855,20.0,True,0.010663219969302851,1.2148800387753453,6.545584457549079,PG43739,poetry,Songs of Sea and Sail,"Day, Thomas Fleming","{'Sea poetry', 'Ships -- Poetry'}",spgc_texts/PG43739.txt
PG7592,13918,17108,0.028667912056329934,0.19756838905775076,0.26256722001402855,0.3080430208089783,0.27110123918634554,3.259258555450901,3.2930986039635735,0.20793217416295445,4.2733151314844084,20.0,True,0.027877568616180487,1.403147003879868,8.767134645782445,PG7592,fiction,The Caxtons: A Family Picture — Volume 07,"Lytton, Edward Bulwer Lytton, Baron","{'English fiction -- 19th century', 'Families -- Fiction'}",spgc_texts/PG7592.txt
PG45913,7058,9495,0.024794559365259282,0.23528172722485519,0.32480252764612955,0.37756714060031593,0.31922064244339127,3.046349977839667,3.080555666347099,0.24723717767072825,4.438934542363276,20.0,True,0.050014168319637294,1.5028336639274582,9.94343723434401,PG45913,philosophy,Of Vulgarity,"Ruskin, John","{'Aesthetics', 'Liberty', 'Criticism', 'Social ethics'}",spgc_texts/PG45913.txt
PG16476,40104,47114,0.005959505286255735,0.18404295962983402,0.23772127180880417,0.2775608099503332,0.25981661501889036,3.3185659163747743,3.3559462592527027,0.0879214043486934,3.987058647516457,20.0,True,0.011993816078196688,1.269998005186515,7.195976461200878,PG16476,children,The Rover Boys on Land and Sea: The Crusoes of Seven Islands,"Stratemeyer, Edward","{'Brothers -- Juvenile fiction', 'Yachts -- Juvenile fiction', 'Shipwreck survival -- Juvenile fiction', 'Sailing -- Juvenile fiction'}",spgc_texts/PG16476.txt
PG43420,20186,24583,0.01659566035866442,0.18659236057438067,0.24651181710938452,0.2957735020135866,0.2614001545783672,3.273912479079681,3.3201895482973045,0.14098880412166848,4.1342019221242445,20.0,True,0.02462102447240662,1.3390964034479342,8.011337560685625,PG43420,children,Off Santiago with Sampson,"Otis, James","{'Stowaways -- Juvenile fiction', 'Spanish-American War, 1898 -- Juvenile fiction', 'War -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Fathers and sons -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Sailors -- Juvenile fiction', 'Naval battles -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'War stories', 'Cuba -- History -- Revolution, 1895-1898 -- Juvenile fiction', 'Young men -- Conduct of life -- Juvenile fiction'}",spgc_texts/PG43420.txt
PG15467,37571,47281,0.012296718213515743,0.19629449461728812,0.27719379877752165,0.3208265476618515,0.26564581967386475,3.2265273868180917,3.257380368041771,0.12554896063453194,4.323281254158792,20.0,True,0.03146043490990392,1.3898485534055522,8.610212930185519,PG15467,religion,The First Soprano,"Hitchcock, Mary","{'Christian fiction, American'}",spgc_texts/PG15467.txt
PG3435,38609,44476,0.04820119661218887,0.21724075906106663,0.27873459843511106,0.31626045507689543,0.28440057559133014,3.230632355801877,3.2576675963993638,0.14517340516459892,4.180139345748401,20.0,True,0.020150742054961278,1.3288352456681085,7.890255898883684,PG3435,children,The Book of the Thousand Nights and a Night — Volume 01,,"{'Tales -- Arab countries', 'Fairy tales'}",spgc_texts/PG3435.txt
PG31956,3668,4624,0.006815703380588877,0.1967993079584775,0.2554065743944637,0.29173875432525953,0.2625432525951557,3.2534865376146738,3.321181764378017,0.2778080697928026,4.249727371864776,20.0,True,0.02317339149400218,1.3563249727371864,8.2146346782988,PG31956,science,Garth and the Visitor,"Stecher, L. J., Jr.","{'Short stories', 'Science fiction'}",spgc_texts/PG31956.txt
